Schm Desc,Rate,Sanct Lim,Balance,Status
5,9,1000000,943020.48,1
5,9,200000,169702.03,1
5,9,1600000,1554180.96,1
5,9,1500000,1389347.69,1
5,9,170000,161020.49,1
5,9,360000,329306.37,1
5,9,600000,583770.16,1
5,9,130000,109747.13,1
5,9,270000,245018.32,1
5,9,200000,169199.87,1
5,9,260000,226848.23,1
5,9,245000,213508.29,1
5,9,220000,197960.26,1
5,9,430000,405058.86,1
5,9,300000,291810.08,1
5,9,330000,296073.4,1
5,9,300000,276590.33,1
5,9,335000,325126.2,1
5,9,220000,203077.76,1
5,9,250000,237361.68,1
5,9,300000,290760.08,1
5,9,200000,200000,1
5,9,450000,425777.19,1
5,9,245000,238862.82,1
5,9,255000,255000,1
5,9,275000,275000,1
5,9,230000,230000,1
5,9,220000,213224.06,1
5,9,200000,194190.05,1
5,9,350000,339220.09,1
5,9,250000,243425.07,1
5,9,480000,472315.99,1
5,9,300000,283624.71,1
5,9,350000,350000,1
5,9,500000,500000,1
6,0,400000,0,2
6,0,495000,0,2
2,9,12000000,9356711.08,1
2,9,4500000,1874844.52,1
2,9,2650000,1950406.53,1
2,9,7000000,5109899.92,1
2,9,9000000,1509281.34,1
3,9,12000000,2383678.95,1
4,9,1100000,552610.58,1
4,9,321495,59200.63,1
4,0,600000,0,2
